JeffSessions is_a_member_of senate
114thcongress overlap_with JeffSessions
JeffSessions from alabama
JeffSessions affiliated_to republican
RichardShelby is_a_member_of senate
114thcongress overlap_with RichardShelby
RichardShelby from alabama
RichardShelby affiliated_to republican
DanSullivan is_a_member_of senate
114thcongress overlap_with DanSullivan
DanSullivan from alaska
DanSullivan affiliated_to republican
LisaMurkowski is_a_member_of senate
114thcongress overlap_with LisaMurkowski
LisaMurkowski from alaska
LisaMurkowski affiliated_to republican
JeffFlake is_a_member_of senate
114thcongress overlap_with JeffFlake
JeffFlake from arizona
JeffFlake affiliated_to republican
JohnMcCain is_a_member_of senate
114thcongress overlap_with JohnMcCain
JohnMcCain from arizona
JohnMcCain affiliated_to republican
TomCotton is_a_member_of senate
114thcongress overlap_with TomCotton
TomCotton from arkansas
TomCotton affiliated_to republican
JohnBoozman is_a_member_of senate
114thcongress overlap_with JohnBoozman
JohnBoozman from arkansas
JohnBoozman affiliated_to republican
DianneFeinstein is_a_member_of senate
114thcongress overlap_with DianneFeinstein
DianneFeinstein from california
DianneFeinstein affiliated_to democrat
BarbaraBoxer is_a_member_of senate
114thcongress overlap_with BarbaraBoxer
BarbaraBoxer from california
BarbaraBoxer affiliated_to democrat
CoryGardner is_a_member_of senate
114thcongress overlap_with CoryGardner
CoryGardner from colorado
CoryGardner affiliated_to republican
MichaelBennet is_a_member_of senate
114thcongress overlap_with MichaelBennet
MichaelBennet from colorado
MichaelBennet affiliated_to democrat
ChrisMurphy is_a_member_of senate
114thcongress overlap_with ChrisMurphy
ChrisMurphy from connecticut
ChrisMurphy affiliated_to democrat
RichardBlumenthal is_a_member_of senate
114thcongress overlap_with RichardBlumenthal
RichardBlumenthal from connecticut
RichardBlumenthal affiliated_to democrat
TomCarper is_a_member_of senate
114thcongress overlap_with TomCarper
TomCarper from delaware
TomCarper affiliated_to democrat
ChrisCoons is_a_member_of senate
114thcongress overlap_with ChrisCoons
ChrisCoons from delaware
ChrisCoons affiliated_to democrat
BillNelson is_a_member_of senate
114thcongress overlap_with BillNelson
BillNelson from florida
BillNelson affiliated_to democrat
MarcoRubio is_a_member_of senate
114thcongress overlap_with MarcoRubio
MarcoRubio from florida
MarcoRubio affiliated_to republican
DavidPerdue is_a_member_of senate
114thcongress overlap_with DavidPerdue
DavidPerdue from georgia
DavidPerdue affiliated_to republican
JohnnyIsakson is_a_member_of senate
114thcongress overlap_with JohnnyIsakson
JohnnyIsakson from georgia
JohnnyIsakson affiliated_to republican
MazieHirono is_a_member_of senate
114thcongress overlap_with MazieHirono
MazieHirono from hawaii
MazieHirono affiliated_to democrat
BrianSchatz is_a_member_of senate
114thcongress overlap_with BrianSchatz
BrianSchatz from hawaii
BrianSchatz affiliated_to democrat
JimRisch is_a_member_of senate
114thcongress overlap_with JimRisch
JimRisch from idaho
JimRisch affiliated_to republican
MikeCrapo is_a_member_of senate
114thcongress overlap_with MikeCrapo
MikeCrapo from idaho
MikeCrapo affiliated_to republican
DickDurbin is_a_member_of senate
114thcongress overlap_with DickDurbin
DickDurbin from illinois
DickDurbin affiliated_to democrat
MarkKirk is_a_member_of senate
114thcongress overlap_with MarkKirk
MarkKirk from illinois
MarkKirk affiliated_to republican
JoeDonnelly is_a_member_of senate
114thcongress overlap_with JoeDonnelly
JoeDonnelly from indiana
JoeDonnelly affiliated_to democrat
DanCoats is_a_member_of senate
114thcongress overlap_with DanCoats
DanCoats from indiana
DanCoats affiliated_to republican
JoniErnst is_a_member_of senate
114thcongress overlap_with JoniErnst
JoniErnst from iowa
JoniErnst affiliated_to republican
ChuckGrassley is_a_member_of senate
114thcongress overlap_with ChuckGrassley
ChuckGrassley from iowa
ChuckGrassley affiliated_to republican
PatRoberts is_a_member_of senate
114thcongress overlap_with PatRoberts
PatRoberts from kansas
PatRoberts affiliated_to republican
JerryMoran is_a_member_of senate
114thcongress overlap_with JerryMoran
JerryMoran from kansas
JerryMoran affiliated_to republican
MitchMcConnell is_a_member_of senate
114thcongress overlap_with MitchMcConnell
MitchMcConnell from kentucky
MitchMcConnell affiliated_to republican
RandPaul is_a_member_of senate
114thcongress overlap_with RandPaul
RandPaul from kentucky
RandPaul affiliated_to republican
BillCassidy is_a_member_of senate
114thcongress overlap_with BillCassidy
BillCassidy from louisiana
BillCassidy affiliated_to republican
DavidVitter is_a_member_of senate
114thcongress overlap_with DavidVitter
DavidVitter from louisiana
DavidVitter affiliated_to republican
AngusKing is_a_member_of senate
114thcongress overlap_with AngusKing
AngusKing from maine
AngusKing affiliated_to independent
SusanCollins is_a_member_of senate
114thcongress overlap_with SusanCollins
SusanCollins from maine
SusanCollins affiliated_to republican
BenCardin is_a_member_of senate
114thcongress overlap_with BenCardin
BenCardin from maryland
BenCardin affiliated_to democrat
BarbaraMikulski is_a_member_of senate
114thcongress overlap_with BarbaraMikulski
BarbaraMikulski from maryland
BarbaraMikulski affiliated_to democrat
ElizabethWarren is_a_member_of senate
114thcongress overlap_with ElizabethWarren
ElizabethWarren from massachusetts
ElizabethWarren affiliated_to democrat
EdMarkey is_a_member_of senate
114thcongress overlap_with EdMarkey
EdMarkey from massachusetts
EdMarkey affiliated_to democrat
DebbieStabenow is_a_member_of senate
114thcongress overlap_with DebbieStabenow
DebbieStabenow from michigan
DebbieStabenow affiliated_to democrat
GaryPeters is_a_member_of senate
114thcongress overlap_with GaryPeters
GaryPeters from michigan
GaryPeters affiliated_to democrat
AmyKlobuchar is_a_member_of senate
114thcongress overlap_with AmyKlobuchar
AmyKlobuchar from minnesota
AmyKlobuchar affiliated_to democrat
AlFranken is_a_member_of senate
114thcongress overlap_with AlFranken
AlFranken from minnesota
AlFranken affiliated_to democrat
RogerWicker is_a_member_of senate
114thcongress overlap_with RogerWicker
RogerWicker from mississippi
RogerWicker affiliated_to republican
ThadCochran is_a_member_of senate
114thcongress overlap_with ThadCochran
ThadCochran from mississippi
ThadCochran affiliated_to republican
ClaireMcCaskill is_a_member_of senate
114thcongress overlap_with ClaireMcCaskill
ClaireMcCaskill from missouri
ClaireMcCaskill affiliated_to democrat
RoyBlunt is_a_member_of senate
114thcongress overlap_with RoyBlunt
RoyBlunt from missouri
RoyBlunt affiliated_to republican
JonTester is_a_member_of senate
114thcongress overlap_with JonTester
JonTester from montana
JonTester affiliated_to democrat
SteveDaines is_a_member_of senate
114thcongress overlap_with SteveDaines
SteveDaines from montana
SteveDaines affiliated_to republican
DebFischer is_a_member_of senate
114thcongress overlap_with DebFischer
DebFischer from nebraska
DebFischer affiliated_to republican
BenSasse is_a_member_of senate
114thcongress overlap_with BenSasse
BenSasse from nebraska
BenSasse affiliated_to republican
DeanHeller is_a_member_of senate
114thcongress overlap_with DeanHeller
DeanHeller from nevada
DeanHeller affiliated_to republican
HarryReid is_a_member_of senate
114thcongress overlap_with HarryReid
HarryReid from nevada
HarryReid affiliated_to democrat
JeanneShaheen is_a_member_of senate
114thcongress overlap_with JeanneShaheen
JeanneShaheen from new_hampshire
JeanneShaheen affiliated_to democrat
KellyAyotte is_a_member_of senate
114thcongress overlap_with KellyAyotte
KellyAyotte from new_hampshire
KellyAyotte affiliated_to republican
BobMenendez is_a_member_of senate
114thcongress overlap_with BobMenendez
BobMenendez from new_jersey
BobMenendez affiliated_to democrat
CoryBooker is_a_member_of senate
114thcongress overlap_with CoryBooker
CoryBooker from new_jersey
CoryBooker affiliated_to democrat
MartinHeinrich is_a_member_of senate
114thcongress overlap_with MartinHeinrich
MartinHeinrich from new_mexico
MartinHeinrich affiliated_to democrat
TomUdall is_a_member_of senate
114thcongress overlap_with TomUdall
TomUdall from new_mexico
TomUdall affiliated_to democrat
KirstenGillibrand is_a_member_of senate
114thcongress overlap_with KirstenGillibrand
KirstenGillibrand from new_york
KirstenGillibrand affiliated_to democrat
ChuckSchumer is_a_member_of senate
114thcongress overlap_with ChuckSchumer
ChuckSchumer from new_york
ChuckSchumer affiliated_to democrat
ThomTillis is_a_member_of senate
114thcongress overlap_with ThomTillis
ThomTillis from north_carolina
ThomTillis affiliated_to republican
RichardBurr is_a_member_of senate
114thcongress overlap_with RichardBurr
RichardBurr from north_carolina
RichardBurr affiliated_to republican
HeidiHeitkamp is_a_member_of senate
114thcongress overlap_with HeidiHeitkamp
HeidiHeitkamp from north_dakota
HeidiHeitkamp affiliated_to democrat
JohnHoeven is_a_member_of senate
114thcongress overlap_with JohnHoeven
JohnHoeven from north_dakota
JohnHoeven affiliated_to republican
SherrodBrown is_a_member_of senate
114thcongress overlap_with SherrodBrown
SherrodBrown from ohio
SherrodBrown affiliated_to democrat
RobPortman is_a_member_of senate
114thcongress overlap_with RobPortman
RobPortman from ohio
RobPortman affiliated_to republican
JimInhofe is_a_member_of senate
114thcongress overlap_with JimInhofe
JimInhofe from oklahoma
JimInhofe affiliated_to republican
JamesLankford is_a_member_of senate
114thcongress overlap_with JamesLankford
JamesLankford from oklahoma
JamesLankford affiliated_to republican
JeffMerkley is_a_member_of senate
114thcongress overlap_with JeffMerkley
JeffMerkley from oregon
JeffMerkley affiliated_to democrat
RonWyden is_a_member_of senate
114thcongress overlap_with RonWyden
RonWyden from oregon
RonWyden affiliated_to democrat
BobCasey is_a_member_of senate
114thcongress overlap_with BobCasey
BobCasey from pennsylvania
BobCasey affiliated_to democrat
PatToomey is_a_member_of senate
114thcongress overlap_with PatToomey
PatToomey from pennsylvania
PatToomey affiliated_to republican
SheldonWhitehouse is_a_member_of senate
114thcongress overlap_with SheldonWhitehouse
SheldonWhitehouse from rhode_island
SheldonWhitehouse affiliated_to democrat
JackReed is_a_member_of senate
114thcongress overlap_with JackReed
JackReed from rhode_island
JackReed affiliated_to democrat
LindseyGraham is_a_member_of senate
114thcongress overlap_with LindseyGraham
LindseyGraham from south_carolina
LindseyGraham affiliated_to republican
TimScott is_a_member_of senate
114thcongress overlap_with TimScott
TimScott from south_carolina
TimScott affiliated_to republican
MikeRounds is_a_member_of senate
114thcongress overlap_with MikeRounds
MikeRounds from south_dakota
MikeRounds affiliated_to republican
JohnThune is_a_member_of senate
114thcongress overlap_with JohnThune
JohnThune from south_dakota
JohnThune affiliated_to republican
BobCorker is_a_member_of senate
114thcongress overlap_with BobCorker
BobCorker from tennessee
BobCorker affiliated_to republican
LamarAlexander is_a_member_of senate
114thcongress overlap_with LamarAlexander
LamarAlexander from tennessee
LamarAlexander affiliated_to republican
TedCruz is_a_member_of senate
114thcongress overlap_with TedCruz
TedCruz from texas
TedCruz affiliated_to republican
JohnCornyn is_a_member_of senate
114thcongress overlap_with JohnCornyn
JohnCornyn from texas
JohnCornyn affiliated_to republican
OrrinHatch is_a_member_of senate
114thcongress overlap_with OrrinHatch
OrrinHatch from utah
OrrinHatch affiliated_to republican
MikeLee is_a_member_of senate
114thcongress overlap_with MikeLee
MikeLee from utah
MikeLee affiliated_to republican
BernieSanders is_a_member_of senate
114thcongress overlap_with BernieSanders
BernieSanders from vermont
BernieSanders affiliated_to independent
PatrickLeahy is_a_member_of senate
114thcongress overlap_with PatrickLeahy
PatrickLeahy from vermont
PatrickLeahy affiliated_to democrat
TimKaine is_a_member_of senate
114thcongress overlap_with TimKaine
TimKaine from virginia
TimKaine affiliated_to democrat
MarkWarner is_a_member_of senate
114thcongress overlap_with MarkWarner
MarkWarner from virginia
MarkWarner affiliated_to democrat
MariaCantwell is_a_member_of senate
114thcongress overlap_with MariaCantwell
MariaCantwell from washington
MariaCantwell affiliated_to democrat
PattyMurray is_a_member_of senate
114thcongress overlap_with PattyMurray
